DEPARTEMENT,COMMUNE,ARRONDISSEMENT,VILLAGE_QTIERVILLE
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,ARBONGA
ALIBORI,BANIKOARA,BANIKOARA,AVIATION
ALIBORI,BANIKOARA,BANIKOARA,AVIATION
ALIBORI,BANIKOARA,BANIKOARA,AVIATION
ALIBORI,BANIKOARA,BANIKOARA,AVIATION
ALIBORI,BANIKOARA,BANIKOARA,BATRAN
ALIBORI,BANIKOARA,BANIKOARA,BATRAN
ALIBORI,BANIKOARA,BANIKOARA,DEMANOU
ALIBORI,BANIKOARA,BANIKOARA,DEMANOU
ALIBORI,BANIKOARA,BANIKOARA,DEMANOU
ALIBORI,BANIKOARA,BANIKOARA,DEMANOU
ALIBORI,BANIKOARA,BANIKOARA,DEMANOU
ALIBORI,BANIKOARA,BANIKOARA,DEROU GAROU
ALIBORI,BANIKOARA,BANIKOARA,DEROU GAROU
ALIBORI,BANIKOARA,BANIKOARA,DEROU GAROU
ALIBORI,BANIKOARA,BANIKOARA,GBEGBABI
ALIBORI,BANIKOARA,BANIKOARA,GBEGBABI
ALIBORI,BANIKOARA,BANIKOARA,GBEGBABI
ALIBORI,BANIKOARA,BANIKOARA,GBEGBABI
ALIBORI,BANIKOARA,BANIKOARA,GBEGBABI
ALIBORI,BANIKOARA,BANIKOARA,GBEGBABI
ALIBORI,BANIKOARA,BANIKOARA,GUINGUIRE
ALIBORI,BANIKOARA,BANIKOARA,GUINGUIRE
ALIBORI,BANIKOARA,BANIKOARA,GUINGUIRE
ALIBORI,BANIKOARA,BANIKOARA,KINGAROU
ALIBORI,BANIKOARA,BANIKOARA,KINGAROU
ALIBORI,BANIKOARA,BANIKOARA,KINGAROU
ALIBORI,BANIKOARA,BANIKOARA,KINGAROU
ALIBORI,BANIKOARA,BANIKOARA,KOKIRE
ALIBORI,BANIKOARA,BANIKOARA,KOKIRE
ALIBORI,BANIKOARA,BANIKOARA,KOKIRE
ALIBORI,BANIKOARA,BANIKOARA,KOKIRE
ALIBORI,BANIKOARA,BANIKOARA,KOKIRE
ALIBORI,BANIKOARA,BANIKOARA,KOMMON
ALIBORI,BANIKOARA,BANIKOARA,KOMMON
ALIBORI,BANIKOARA,BANIKOARA,KOMMON
ALIBORI,BANIKOARA,BANIKOARA,KOMMON
ALIBORI,BANIKOARA,BANIKOARA,KORI GUIGUIRI
ALIBORI,BANIKOARA,BANIKOARA,KORI GUIGUIRI
ALIBORI,BANIKOARA,BANIKOARA,KORI GUIGUIRI
ALIBORI,BANIKOARA,BANIKOARA,KPAGAGUEDOU
ALIBORI,BANIKOARA,BANIKOARA,KPAGAGUEDOU
ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU
ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU
ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU
ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU
ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU
ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU
